EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,StudyRef,Latin,Reference
82,18,Papio_ursinus,16,infant_survival,35,0.3428,0.35722,0.0248,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
83,20,Papio_ursinus,16,infant_survival,38,0.33904277,0.353,0.0333,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
84,20,Papio_ursinus,16,infant_survival,30,0.429049337,0.4587,0.037,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
85,1,Macaca_fuscata,1,infant_survival,10,-0.588,-0.6746,0.1429,8,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,http://www.sciencedirect.com/science/article/pii/S0003347282802042
86,33,Macaca_fuscata,1,infant_survival,71,0.1764,0.1782,0.014,5,Wild,15.3,Kinkazan_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
87,21,Mandrillus_sphinx,17,infant_survival,100,0.2159,0.2193,0.0103,5,Captive,14,CIRMF_Gabon,Categorical,Agonism,21,Mandrillus_sphinx,https://link.springer.com/content/pdf/10.1023/A:1013245707228.pdf
88,22,Papio_anubis,15,infant_survival,132,-0.1778,-0.1797,0.0078,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
89,18,Papio_ursinus,16,infant_survival,42,-0.0871,-0.0873,0.0256,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
90,18,Papio_ursinus,16,infant_survival,36,-0.1173,-0.1178,0.0085,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
91,29,Chlorocebus_aethiops,23,interbirth_interval,45,0.34,0.3541,0.0238,8,Captive,9,Sepulveda_USA,Continuous,Agonism,29,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350070106
92,8,Crocuta_crocuta,8,interbirth_interval,50,0.599,0.6916,0.0213,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
93,8,Crocuta_crocuta,8,interbirth_interval,31,0.723,0.919,0.0357,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
94,8,Crocuta_crocuta,8,interbirth_interval,19,0.534,0.5957,0.0625,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
95,8,Crocuta_crocuta,8,interbirth_interval,41,0.4508,0.4857,0.0263,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
96,8,Crocuta_crocuta,8,interbirth_interval,18,0.193,0.1955,0.0667,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
97,28,Gorilla_beringei,22,interbirth_interval,34,0.3552,0.3714,0.0243,37,Wild,7.2,Virunga_Ruanda,Continuous,Agonism,28,Gorilla_beringei,https://link.springer.com/article/10.1007/s00265-006-0321-y#Tab3
98,31,Macaca_arctoides,24,interbirth_interval,13,0.042220446,0.0422,0.1,4,Captive,56,Organon_Netherlands,Categorical,Agonism,31,Macaca_arctoides,https://link.springer.com/content/pdf/10.1007/BF02693697.pdf
99,21,Mandrillus_sphinx,17,interbirth_interval,61,0.02592736,0.0259,0.0172,14,Captive,14,CIRMF_Gabon,Categorical,Agonism,21,Mandrillus_sphinx,https://link.springer.com/content/pdf/10.1023/A:1013245707228.pdf
100,21,Mandrillus_sphinx,17,interbirth_interval,12,0.273,0.2801,0.1111,14,Captive,14,CIRMF_Gabon,Categorical,Agonism,21,Mandrillus_sphinx,https://link.springer.com/content/pdf/10.1023/A:1013245707228.pdf
101,22,Papio_anubis,15,interbirth_interval,79,0.4845,0.5288,0.0132,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
102,22,Papio_anubis,15,interbirth_interval,79,0.5003,0.5497,0.0132,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
103,22,Papio_anubis,15,interbirth_interval,76,0.1052,0.1056,0.0137,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
104,22,Papio_anubis,15,interbirth_interval,76,0.1472,0.1483,0.0137,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
105,37,Papio_anubis,15,interbirth_interval,21,0.53351528,0.595,0.0556,2,Captive,11.5,CNRS_France,Categorical,Agonism,37,Papio_anubis,https://s3.amazonaws.com/academia.edu.documents/40656714/Dominance_and_reproductive_rates_in_capt20151205-1380-1dkddt8.pdf?response-content-disposition=inline%3B%20filename%3DDominance_and_reproductive_rates_in_capt.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20190612%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20190612T143715Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=97b0be2a847eb4410632d2f86e3abdf9399016d984c9410c12504cecc10efc0a
106,37,Papio_anubis,15,interbirth_interval,12,0.2796,0.2873,0.0799,2,Captive,11.5,CNRS_France,Categorical,Agonism,37,Papio_anubis,https://s3.amazonaws.com/academia.edu.documents/40656714/Dominance_and_reproductive_rates_in_capt20151205-1380-1dkddt8.pdf?response-content-disposition=inline%3B%20filename%3DDominance_and_reproductive_rates_in_capt.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20190612%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20190612T143715Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=97b0be2a847eb4410632d2f86e3abdf9399016d984c9410c12504cecc10efc0a
107,15,Papio_cynocephalus,14,interbirth_interval,75,0.2,0.2027,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
108,15,Papio_cynocephalus,14,interbirth_interval,44,0.35,0.3654,0.0244,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
109,15,Papio_cynocephalus,14,interbirth_interval,74,0.52,0.5763,0.0141,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
110,17,Papio_anubis,15,interbirth_interval,26,0.045,0.045,0.0435,1,Wild,19,Laikipia_Kenya,Continuous,Agonism,17,Papio_anubis,https://reader.elsevier.com/reader/sd/pii/S0003347283712558?token=86FE5CBEAB2B4A859215873BD203E15CC882BF1501930B6649E5F1769E888ABBE2102888C0A07CDDC7B2F90E30AF39E4
111,20,Papio_ursinus,16,interbirth_interval,21,0.111,0.115,0.0556,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
112,20,Papio_ursinus,16,interbirth_interval,17,0.465,0.5037,0.0714,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
113,28,Gorilla_beringei,22,lifetime_reproductive_success,132,0.0028,0.0028,0.0076,37,Wild,7.2,Virunga_Ruanda,Continuous,Agonism,28,Gorilla_beringei,https://link.springer.com/article/10.1007/s00265-006-0321-y#Tab3
114,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.165103189,0.1666,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
115,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.138915381,0.1398,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
116,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.102532097,0.1029,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
117,4,Macaca_fascicularis,4,lifetime_reproductive_success,81,0.516239585,0.5711,0.0128,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
118,4,Macaca_fascicularis,4,lifetime_reproductive_success,81,0.467099723,0.5063,0.0128,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
119,4,Macaca_fascicularis,4,lifetime_reproductive_success,76,0.065188624,0.0653,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
120,4,Macaca_fascicularis,4,lifetime_reproductive_success,31,0.128281824,0.129,0.0357,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
121,4,Macaca_fascicularis,4,lifetime_reproductive_success,50,0.561057724,0.6344,0.0213,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
122,33,Macaca_fuscata,1,lifetime_reproductive_success,36,0.046770308,0.0468,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
123,33,Macaca_fuscata,1,lifetime_reproductive_success,36,0.084047953,0.0842,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
124,33,Macaca_fuscata,1,lifetime_reproductive_success,18,0.1049,0.1053,0.056,9,Wild,15.3,Kinkazan_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
125,33,Macaca_fuscata,1,lifetime_reproductive_success,18,0.2283,0.2324,0.06576,9,Wild,15.3,Kinkazan_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
126,36,Mandrillus_sphinx,17,lifetime_reproductive_success,35,0.501,0.5506,0.0313,19,Captive,48.5,CIRMF_Gabon,Categorical,Agonism,36,Mandrillus_sphinx,https://link.springer.com/article/10.1007/s00265-005-0946-2
127,10,Ovis_canadensis,9,lifetime_reproductive_success,24,0.04,0.04,0.0476,4,Wild,56.8,Alberta_Canada,Continuous,Agonism,10,Ovis_canadensis,https://www.sciencedirect.com/science/article/pii/S0003347205806074
128,22,Papio_anubis,15,lifetime_reproductive_success,37,0.3043,0.3143,0.0294,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
129,22,Papio_anubis,15,lifetime_reproductive_success,35,0.3562,0.3726,0.0313,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
130,15,Papio_cynocephalus,14,lifetime_reproductive_success,75,0.34,0.3541,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
131,19,Crocuta_crocuta,8,lifetime_reproductive_success,36,0.4543,0.4901,0.0303,13,Wild,26.3,Ngorongoro_Tanzania,Continuous,Agonism,19,Crocuta_crocuta,https://link.springer.com/content/pdf/10.1023%2FA%3A1027352517231.pdf
132,25,Macaca_fuscata,1,survival,35,0.4519,0.4871,0.0312,2,Wild,89,Iwatayama_Japan,Categorical,Agonism,25,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02390462.pdf
133,5,Oryctolagus_cuniculus,5,survival,197,0.131286579,0.1321,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,Oryctolagus_cuniculus,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf
134,22,Papio_anubis,15,survival,37,0.1125,0.113,0.0294,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
135,22,Papio_anubis,15,survival,35,0.4381,0.4699,0.0313,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
136,15,Papio_cynocephalus,14,survival,75,0.49,0.5361,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
137,15,Papio_cynocephalus,14,survival,75,0.33,0.3428,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
138,15,Papio_cynocephalus,14,survival,75,0.4,0.4236,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
139,19,Crocuta_crocuta,8,survival,36,0.3778,0.3975,0.0303,13,Wild,26.3,Ngorongoro_Tanzania,Continuous,Agonism,19,Crocuta_crocuta,https://link.springer.com/content/pdf/10.1023%2FA%3A1027352517231.pdf
140,18,Papio_ursinus,16,survival,28,-0.1525,-0.1537,0.04,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
141,18,Papio_ursinus,16,survival,36,0.008,0.008,0.0233,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
142,11,Cervus_elaphus,10,infant_production,89,0.00010753,0.001,0.0116,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,11,Cervus_elaphus,https://www.nature.com/articles/308358a0.pdf
143,11,Cervus_elaphus,10,lifetime_reproductive_success,29,0.4861,0.531,0.0383,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,11,Cervus_elaphus,https://www.nature.com/articles/308358a0.pdf
144,40,Macaca_mulatta,20,infant_production,71,0.2489,0.2543,0.0147,6,Captive,23.7,Yerkes_USA,Categorical,Agonism,40,Macaca_mulatta,https://www.karger.com/Article/Abstract/459880
145,40,Macaca_mulatta,20,infant_survival,71,0.2484,0.2537,0.0147,6,Captive,23.7,Yerkes_USA,Categorical,Agonism,40,Macaca_mulatta,https://www.karger.com/Article/Abstract/459880
146,41,Macaca_sinica,27,infant_survival,44,0.64,0.7523,0.0296,5,Wild,6.2,Polonnaruwa_SriLanka,Categorical,Agonism,41,Macaca_sinica,https://repository.si.edu/bitstream/handle/10088/11570/Dittus1979.pdf?sequence=1&isAllowed=y
147,41,Macaca_sinica,27,infant_production,44,0.21,0.2134,0.0227,5,Wild,6.2,Polonnaruwa_SriLanka,Categorical,Agonism,41,Macaca_sinica,https://repository.si.edu/bitstream/handle/10088/11570/Dittus1979.pdf?sequence=1&isAllowed=y
148,42,Lycaon_pictus,25,infant_production,137,0.7315,0.9319,0.0199,7,Wild,3.4,Selous_Tanzania,Categorical,Agonism,42,Lycaon_pictus,https://academic.oup.com/beheco/article/8/3/298/187696
149,43,Fukomys_damarensis,28,infant_production,72,0.742,0.955,0.0219,9,Wild,7.9,Namibia_SouthAfrica,Categorical,Other,43,Fukomys_damarensis,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-294X.2004.02233.x
150,1,Macaca_fuscata,1,survival,27,-0.128,-0.1287,0.0417,13,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,https://www.researchgate.net/profile/Linda_Fedigan/publication/19579080_Lifetime_Reproductive_Success_in_Female_Japanese_Macaques/links/5600a98908aeba1d9f84e492/Lifetime-Reproductive-Success-in-Female-Japanese-Macaques.pdf
151,1,Macaca_fuscata,1,infant_production,27,0.004,0.004,0.0417,13,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,https://www.researchgate.net/profile/Linda_Fedigan/publication/19579080_Lifetime_Reproductive_Success_in_Female_Japanese_Macaques/links/5600a98908aeba1d9f84e492/Lifetime-Reproductive-Success-in-Female-Japanese-Macaques.pdf
152,1,Macaca_fuscata,1,infant_survival,27,0.111,0.115,0.0417,13,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,https://www.researchgate.net/profile/Linda_Fedigan/publication/19579080_Lifetime_Reproductive_Success_in_Female_Japanese_Macaques/links/5600a98908aeba1d9f84e492/Lifetime-Reproductive-Success-in-Female-Japanese-Macaques.pdf
153,1,Macaca_fuscata,1,age_at_first_conception,27,0.165,0.1665,0.0417,13,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,https://www.researchgate.net/profile/Linda_Fedigan/publication/19579080_Lifetime_Reproductive_Success_in_Female_Japanese_Macaques/links/5600a98908aeba1d9f84e492/Lifetime-Reproductive-Success-in-Female-Japanese-Macaques.pdf
154,44,Helogale_parvula,29,infant_production,19,0.3737,0.3927,0.0547,3,Wild,4.5,Serengeti_Tanzania,Categorical,Agonism,44,Helogale_parvula,https://reader.elsevier.com/reader/sd/pii/S0003347284710086?token=CE874E95D69F34AFB7787401C5F40E201BBE7097B10F78C70569CFE1F078CB6A405E9E02D8587AE293491212719A137A
155,44,Helogale_parvula,29,infant_production,45,0.3676,0.3856,0.0245,3,Wild,4.5,Serengeti_Tanzania,Categorical,Agonism,44,Helogale_parvula,https://reader.elsevier.com/reader/sd/pii/S0003347284710086?token=CE874E95D69F34AFB7787401C5F40E201BBE7097B10F78C70569CFE1F078CB6A405E9E02D8587AE293491212719A137A
156,44,Helogale_parvula,29,infant_production,19,0.4091,0.4345,0.0547,3,Wild,4.5,Serengeti_Tanzania,Categorical,Agonism,44,Helogale_parvula,https://reader.elsevier.com/reader/sd/pii/S0003347284710086?token=CE874E95D69F34AFB7787401C5F40E201BBE7097B10F78C70569CFE1F078CB6A405E9E02D8587AE293491212719A137A
157,45,Marmota_caligata,30,infant_production,26,0.4648,0.5034,0.0419,6,Wild,2,Cascade_USA,Categorical,Agonism,45,Marmota_caligata,https://pdfs.semanticscholar.org/68d2/d74f4913a2c25379d423c3871ec1b2b80450.pdf
158,45,Marmota_caligata,30,infant_production,26,0.7073,0.8817,0.0546,6,Wild,2,Cascade_USA,Categorical,Agonism,45,Marmota_caligata,https://pdfs.semanticscholar.org/68d2/d74f4913a2c25379d423c3871ec1b2b80450.pdf
159,45,Marmota_caligata,30,lifetime_reproductive_success,26,0.7583,0.9922,0.0606,6,Wild,2,Cascade_USA,Categorical,Agonism,45,Marmota_caligata,https://pdfs.semanticscholar.org/68d2/d74f4913a2c25379d423c3871ec1b2b80450.pdf
160,45,Marmota_caligata,30,infant_survival,26,0.0454,0.0455,0.0371,6,Wild,2,Cascade_USA,Categorical,Agonism,45,Marmota_caligata,https://pdfs.semanticscholar.org/68d2/d74f4913a2c25379d423c3871ec1b2b80450.pdf
161,46,Macaca_radiata,31,interbirth_interval,24,0.3104,0.321,0.0476,10,Captive,24.7,CPRC_USA,Categorical,Agonism,46,Macaca_radiata,https://reader.elsevier.com/reader/sd/pii/S0003347281800632?token=17B857E10A7D9F565EB88E86AB0D3FFCCBDE3E1F8E6E22C6791A5BE04128A9E422F1E4412AD302DA7B6CAFB1F727AE5E
162,46,Macaca_radiata,31,interbirth_interval,24,0.2408,0.2456,0.0476,10,Captive,24.7,CPRC_USA,Categorical,Agonism,46,Macaca_radiata,https://reader.elsevier.com/reader/sd/pii/S0003347281800632?token=17B857E10A7D9F565EB88E86AB0D3FFCCBDE3E1F8E6E22C6791A5BE04128A9E422F1E4412AD302DA7B6CAFB1F727AE5E
163,46,Macaca_radiata,31,infant_survival,6,0.6727,0.8156,0.1906,10,Captive,24.7,CPRC_USA,Categorical,Agonism,46,Macaca_radiata,https://reader.elsevier.com/reader/sd/pii/S0003347281800632?token=17B857E10A7D9F565EB88E86AB0D3FFCCBDE3E1F8E6E22C6791A5BE04128A9E422F1E4412AD302DA7B6CAFB1F727AE5E
164,47,Marmota_flaviventris,32,infant_production,177,0.0018,0.0018,0.0057,6,Wild,8.2,RockyMountain_USA,Continuous,Agonism,47,Marmota_flaviventris,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0310.2011.01909.x
165,47,Marmota_flaviventris,32,infant_production,136,0.0762,0.0763,0.0075,6,Wild,8.2,RockyMountain_USA,Continuous,Agonism,47,Marmota_flaviventris,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0310.2011.01909.x
166,47,Marmota_flaviventris,32,infant_production,177,0.0042,0.0042,0.0057,6,Wild,8.2,RockyMountain_USA,Continuous,Agonism,47,Marmota_flaviventris,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0310.2011.01909.x
167,47,Marmota_flaviventris,32,infant_production,136,0.0434,0.0434,0.0075,6,Wild,8.2,RockyMountain_USA,Continuous,Agonism,47,Marmota_flaviventris,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0310.2011.01909.x
168,48,Alouatta_palliata,33,infant_survival,9,-0.693,-0.8536,0.1667,8,Wild,7.2,HaciendaLaPacifica_CostaRica,Continuous,Agonism,48,Alouatta_palliata,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajpa.1330530106
169,48,Alouatta_palliata,33,infant_production,9,0.6217,0.7278,0.1667,8,Wild,7.2,HaciendaLaPacifica_CostaRica,Continuous,Agonism,48,Alouatta_palliata,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajpa.1330530106
170,49,Equus_quagga,75,infant_production,23,0.4177,0.4449,0.05,8,Captive,4.8,KraloveZoo_Czech,Continuous,Agonism,49,Equus_quagga,http://bartos.agrobiology.eu/publications/pdf/Pluhacek_Bartos_Culik_2006_AABS.pdf
171,49,Equus_quagga,75,interbirth_interval,29,0.34,0.3541,0.0385,8,Captive,4.8,KraloveZoo_Czech,Continuous,Agonism,49,Equus_quagga,http://bartos.agrobiology.eu/publications/pdf/Pluhacek_Bartos_Culik_2006_AABS.pdf
172,50,Equus_zebra,35,interbirth_interval,14,0.1056,0.106,0.067,20,Wild,2,DeHoop_SouthAfrica,Categorical,Agonism,50,Equus_zebra,https://link.springer.com/content/pdf/10.1007%2FBF00300187.pdf
173,50,Equus_zebra,35,infant_survival,14,0.5705,0.6482,0.0814,20,Wild,2,DeHoop_SouthAfrica,Categorical,Agonism,50,Equus_zebra,https://link.springer.com/content/pdf/10.1007%2FBF00300187.pdf
174,50,Equus_zebra,35,infant_production,14,0.4169,0.4439,0.0732,20,Wild,2,DeHoop_SouthAfrica,Categorical,Agonism,50,Equus_zebra,https://link.springer.com/content/pdf/10.1007%2FBF00300187.pdf
175,50,Equus_zebra,35,lifetime_reproductive_success,14,0.5962,0.6872,0.0835,20,Wild,2,DeHoop_SouthAfrica,Categorical,Agonism,50,Equus_zebra,https://link.springer.com/content/pdf/10.1007%2FBF00300187.pdf
176,50,Equus_zebra,35,survival,14,0.0908,0.0911,0.0669,20,Wild,2,DeHoop_SouthAfrica,Categorical,Agonism,50,Equus_zebra,https://link.springer.com/content/pdf/10.1007%2FBF00300187.pdf
177,51,Equus_caballus,68,infant_production,52,0.4562,0.4924,0.0224,12,Wild,2.9,ShacklefordBanks_USA,Continuous,Agonism,51,Equus_caballus,https://www.researchgate.net/profile/Cassandra_Nunez/publication/258994305_Sociality_and_reproductive_skew_in_horses_and_zebras/links/02e7e529b8581660f0000000/Sociality-and-reproductive-skew-in-horses-and-zebras.pdf
178,51,Equus_caballus,68,infant_production,52,0.32,0.3316,0.0204,12,Wild,2.9,ShacklefordBanks_USA,Continuous,Agonism,51,Equus_caballus,https://www.researchgate.net/profile/Cassandra_Nunez/publication/258994305_Sociality_and_reproductive_skew_in_horses_and_zebras/links/02e7e529b8581660f0000000/Sociality-and-reproductive-skew-in-horses-and-zebras.pdf
179,51,Equus_caballus,68,lifetime_reproductive_success,52,0.44,0.4722,0.0204,12,Wild,2.9,ShacklefordBanks_USA,Continuous,Agonism,51,Equus_caballus,https://www.researchgate.net/profile/Cassandra_Nunez/publication/258994305_Sociality_and_reproductive_skew_in_horses_and_zebras/links/02e7e529b8581660f0000000/Sociality-and-reproductive-skew-in-horses-and-zebras.pdf
180,52,Mirounga_angustirostris,36,infant_survival,21,0.3063,0.3165,0.0786,1,Wild,21,AnoNeuvo_USA,Continuous,Agonism,52,Mirounga_angustirostris,https://www.researchgate.net/profile/Burney_Le_Boeuf/publication/22576995_Aggression_in_the_Female_Northern_Elephant_Seal_Mirounga_Angustirostris/links/5a95926daca27214056939bb/Aggression-in-the-Female-Northern-Elephant-Seal-Mirounga-Angustirostris.pdf
181,53,Ovis_canadensis,9,infant_production,46,0.5571,0.6286,0.2344,2,Wild,28.5,NationalBisonRange_Montana,Continuous,Agonism,53,Ovis_canadensis,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1991.tb03832.x
182,53,Ovis_canadensis,9,infant_survival,46,0.1362,0.1371,0.2015,2,Wild,28.5,NationalBisonRange_Montana,Continuous,Agonism,53,Ovis_canadensis,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1991.tb03832.x
183,53,Ovis_canadensis,9,infant_production,46,0.1374,0.1382,0.2015,2,Wild,28.5,NationalBisonRange_Montana,Continuous,Agonism,53,Ovis_canadensis,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1991.tb03832.x
184,54,Hyaena_brunnea,38,infant_production,35,0.4747,0.5161,0.0313,7,Wild,7,Kalahari_Botswana,Categorical,Agonism,54,Hyaena_brunnea,https://sci-hub.tw/10.1006/anbe.1996.0058
185,54,Hyaena_brunnea,38,infant_production,35,0.1951,0.1977,0.0313,7,Wild,7,Kalahari_Botswana,Categorical,Agonism,54,Hyaena_brunnea,https://sci-hub.tw/10.1006/anbe.1996.0058
186,55,Mus_musculus,39,infant_production,42,0.3672,0.3852,0.0256,1,Captive,3,Zurich_Switzerland,Categorical,Agonism,55,Mus_musculus,http://doc.rero.ch/record/320245/files/265_2004_Article_787.pdf
