,EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,LitterSize,LittersPerYear,CooperativeBreeding,PluralBreeding,AssociatedBreeding,DominanceSystem,Philopatry,DietCategory,EnvironmentalHarshness,PopulationDensity,AverageRelatedness,CoalitionFormation,maleinfanticide,sexratio_socialgroup,SexualDimorphism_Weight,BreedingSystem,SpeciesIncluded,MaximumLifespan,Reference_DominanceSucccess,Reference_DominanceSucccess_doi,Reference_DominanceSystem,Reference_DominanceSystem_doi,Reference_Relatedness,Reference_Relatedness_doi
110,110,17,Papio_anubis,15,interbirth_interval,26,0.045,0.045,0.0435,1,Wild,19,Laikipia_Kenya,Continuous,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,0.05,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://reader.elsevier.com/reader/sd/pii/S0003347283712558?token=86FE5CBEAB2B4A859215873BD203E15CC882BF1501930B6649E5F1769E888ABBE2102888C0A07CDDC7B2F90E30AF39E4,10.1006/anbe.1993.1255,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,https://rucore.libraries.rutgers.edu/rutgers-lib/49258/PDF/1/play/,NA
111,111,20,Papio_ursinus,16,interbirth_interval,21,0.111,0.115,0.0556,8,Wild,15,Moremi_Botswana,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,2.8,0.07,No,1,0.2,1.97,2,Papio_ursinus,NA,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf,10.1007/BF02735781,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.sas.upenn.edu/~seyfarth/Publications/Silk%20et%20al.%201999.pdf,10.1163/156853999501522
112,112,20,Papio_ursinus,16,interbirth_interval,17,0.465,0.5037,0.0714,8,Wild,15,Moremi_Botswana,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,2.8,0.07,No,1,0.2,1.97,2,Papio_ursinus,NA,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf,10.1007/BF02735781,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.sas.upenn.edu/~seyfarth/Publications/Silk%20et%20al.%201999.pdf,10.1163/156853999501522
113,113,28,Gorilla_beringei,22,lifetime_reproductive_success,132,0.0028,0.0028,0.0076,37,Wild,7.2,Virunga_Ruanda,Continuous,Agonism,1,0.3,0,1,0,Age,FemaleDispersal,Omnivore,-0.6652851,NA,0.13,Yes,1,NA,1.95,2,Gorilla_beringei,NA,https://link.springer.com/article/10.1007/s00265-006-0321-y#Tab3,10.1007/s00265-006-0321-y,https://www.eva.mpg.de/fileadmin/content_files/primatology/gorilla/pdf/2005/Robbinsetal2005.pdf,10.1163/1568539054729123,https://sci-hub.st/10.1002/ajp.1350320103,10.1002/ajp.1350320103
114,114,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.165103189,0.1666,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
115,115,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.138915381,0.1398,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
116,116,4,Macaca_fascicularis,4,lifetime_reproductive_success,169,0.102532097,0.1029,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
117,117,4,Macaca_fascicularis,4,lifetime_reproductive_success,81,0.516239585,0.5711,0.0128,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
118,118,4,Macaca_fascicularis,4,lifetime_reproductive_success,81,0.467099723,0.5063,0.0128,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
119,119,4,Macaca_fascicularis,4,lifetime_reproductive_success,76,0.065188624,0.0653,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
120,120,4,Macaca_fascicularis,4,lifetime_reproductive_success,31,0.128281824,0.129,0.0357,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
121,121,4,Macaca_fascicularis,4,lifetime_reproductive_success,50,0.561057724,0.6344,0.0213,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,1,0.9,0,1,0,Nepotism,FemalePhilopatry,Carnivore,NA,50,0.14,Yes,1,0.302631579,1.493317268,2,Macaca_fascicularis,2.659440782,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf,10.1007/BF02557705,https://www.sciencedirect.com/science/article/abs/pii/S0003347287802841,10.1016/S0003-3472(87)80284-1,"Ruiter, J. D., & Geffen, E. (1998). Relatedness of matrilines, dispersing males and social groups in long–tailed macaques (Macaca fascicularis). Proceedings of the Royal Society of London B: Biological Sciences, 265(1391), 79-87.",10.1098/rspb.1998.0267
122,122,33,Macaca_fuscata,1,lifetime_reproductive_success,36,0.046770308,0.0468,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.04375,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193619/1/679448.pdf,10.1086/679448
123,123,33,Macaca_fuscata,1,lifetime_reproductive_success,36,0.084047953,0.0842,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.04375,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193619/1/679448.pdf,10.1086/679448
124,124,33,Macaca_fuscata,1,lifetime_reproductive_success,18,0.1049,0.1053,0.056,9,Wild,15.3,Kinkazan_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.015,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193677/1/s10329-014-0411-9.pdf,10.1086/679448
125,125,33,Macaca_fuscata,1,lifetime_reproductive_success,18,0.2283,0.2324,0.06576,9,Wild,15.3,Kinkazan_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.015,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf,10.1007/BF02573082,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/193677/1/s10329-014-0411-9.pdf,10.1086/679448
126,126,36,Mandrillus_sphinx,17,lifetime_reproductive_success,35,0.501,0.5506,0.0313,19,Captive,48.5,CIRMF_Gabon,Categorical,Agonism,1,0.8,0,1,0,Nepotism,NA,Omnivore,NA,21.4,NA,Yes,NA,NA,2.449784349,2,Mandrillus_sphinx,2.617524535,https://link.springer.com/article/10.1007/s00265-005-0946-2,10.1007/s00265-005-0946-2,https://link.springer.com/content/pdf/10.1023/A:1013245707228.pdf,NA,NA,NA
127,127,10,Ovis_canadensis,9,lifetime_reproductive_success,24,0.04,0.04,0.0476,4,Wild,56.8,Alberta_Canada,Continuous,Agonism,1.2,1,0,0,1,Age,FemalePhilopatry,Herbivore,1.83289949,1.5,0.02,No,0,NA,1.377127764,3,Ovis_canadensis,2.414639147,https://www.sciencedirect.com/science/article/pii/S0003347205806074,10.1016/S0003-3472(05)80607-4,https://www.sciencedirect.com/science/article/abs/pii/S0003347205806074,10.1016/S0003-3472(05)80607-4,"Fournier, F., & Festa-Bianchet, M. (1995). Social dominance in adult female mountain goats. Animal Behaviour, 49(6), 1449-1459.",10.1016/0003-3472(95)90066-7
128,128,22,Papio_anubis,15,lifetime_reproductive_success,37,0.3043,0.3143,0.0294,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,0,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,https://d-nb.info/1076398626/34,NA
129,129,22,Papio_anubis,15,lifetime_reproductive_success,35,0.3562,0.3726,0.0313,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,0,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,https://d-nb.info/1076398626/34,NA
130,130,15,Papio_cynocephalus,14,lifetime_reproductive_success,75,0.34,0.3541,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
131,131,19,Crocuta_crocuta,8,lifetime_reproductive_success,36,0.4543,0.4901,0.0303,13,Wild,26.3,Ngorongoro_Tanzania,Continuous,Agonism,1.4,1,0,1,0,Nepotism,FemalePhilopatry,Carnivore,0.07915992,0.1,NA,Yes,0,0.504424779,0.74139999,2,Crocuta_crocuta,2.692935003,https://link.springer.com/content/pdf/10.1023%2FA%3A1027352517231.pdf,10.1023/A:1027352517231,https://link.springer.com/article/10.1023%2FA%3A1027352517231,10.1023/A:1027352517231,NA,NA
132,132,25,Macaca_fuscata,1,survival,35,0.4519,0.4871,0.0312,2,Wild,89,Arashiyama_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.03,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02390462.pdf,10.1007/BF02390462,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://www.researchgate.net/profile/Nicola_Koyama/publication/226746348_Matrilineal_Cohesion_and_Social_Networks_in_Macaca_fuscata/links/0c96052aad42a63391000000.pdf,NA
133,133,5,Oryctolagus_cuniculus,5,survival,197,0.131286579,0.1321,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,4.6,0,1,0,Age,FemalePhilopatry,Herbivore,NA,357.9,0.24,No,NA,NA,NA,2,Oryctolagus_cuniculus,2.22934902,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,"Surridge, A. K., Ibrahim, K. M., Bell, D. J., Webb, N. J., Rico, C., & Hewitt, G. M. (1999). Fine‐scale genetic structuring in a natural population of European wild rabbits (Oryctolagus cuniculus). Molecular Ecology, 8(2), 299-307.",10.1046/j.1365-294X.1999.00570.x
134,134,22,Papio_anubis,15,survival,37,0.1125,0.113,0.0294,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,0,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,https://d-nb.info/1076398626/34,NA
135,135,22,Papio_anubis,15,survival,35,0.4381,0.4699,0.0313,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,0,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,https://d-nb.info/1076398626/34,NA
136,136,15,Papio_cynocephalus,14,survival,75,0.49,0.5361,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
137,137,15,Papio_cynocephalus,14,survival,75,0.33,0.3428,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
138,138,15,Papio_cynocephalus,14,survival,75,0.4,0.4236,0.0139,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
139,139,19,Crocuta_crocuta,8,survival,36,0.3778,0.3975,0.0303,13,Wild,26.3,Ngorongoro_Tanzania,Continuous,Agonism,1.4,1,0,1,0,Nepotism,FemalePhilopatry,Carnivore,0.07915992,0.1,NA,Yes,0,0.504424779,0.74139999,2,Crocuta_crocuta,2.692935003,https://link.springer.com/content/pdf/10.1023%2FA%3A1027352517231.pdf,10.1023/A:1027352517231,https://link.springer.com/article/10.1023%2FA%3A1027352517231,10.1023/A:1027352517231,NA,NA
140,140,18,Papio_ursinus,16,survival,28,-0.1525,-0.1537,0.04,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,2.8,0.07,No,1,0.2,1.97,2,Papio_ursinus,NA,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.sas.upenn.edu/~seyfarth/Publications/Silk%20et%20al.%201999.pdf,10.1163/156853999501522
141,141,18,Papio_ursinus,16,survival,36,0.008,0.008,0.0233,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,2.8,0.07,No,1,0.2,1.97,2,Papio_ursinus,NA,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.sas.upenn.edu/~seyfarth/Publications/Silk%20et%20al.%201999.pdf,10.1163/156853999501522
142,142,11,Cervus_elaphus,10,infant_production,89,0.00010753,0.001,0.0116,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,1,0.9,0,0,1,Age,FemalePhilopatry,Herbivore,1.98000318,2.9,0.06,Yes,NA,0.2,1.786038431,3,Cervus_elaphus,2.534305387,https://www.nature.com/articles/308358a0.pdf,10.1038/308358a0,https://sci-hub.tw/10.1111/j.1439-0310.1983.tb01341.x,10.1111/j.1439-0310.1983.tb01341.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2005.02692.x,10.1111/j.1365-294X.2005.02692.x
